Unnamed: 0,target,sa,cv,density,vf,di,df,dif,filename,Original_Rank
13946,543.1945181,2674.33,8662.18,0.698148,0.39764,9.96419,6.65711,9.28746,uni+N434+E165,1786
16008,543.1825995,2692.91,14487.4,0.674216,0.38976,8.93567,6.82639,8.69537,vmk+N622+E112,1787
13132,543.1698787,2118.2,33316.5,0.478838,0.5949,14.31242,8.86778,14.28369,umc+N305+E48,1788
14656,543.1192083,1999.62,18683.2,0.405235,0.59896,15.31642,10.08785,15.20187,uoo+N627+E221,1789
7149,543.0974554,2024.61,32813.4,0.559473,0.53054,15.13157,9.36128,15.13157,pcb+N434+E84,1793
13760,543.0948935,2717.76,20157.9,0.769244,0.3869,10.05596,6.44178,9.63436,une+N434+E216,1794
13925,543.0944901,2126.9,10598.8,0.565331,0.52958,14.19796,11.15583,14.12809,uni+N304+E184,1795
13662,543.0627605,2194.68,5920.75,0.56405,0.57208,13.60617,12.65078,13.57078,unc+N156+E202,1797
1745,543.0395766,1700.6,6294.17,0.327623,0.67336,14.46259,10.56945,14.41499,cds+N127+E158,1799
9803,543.0358051,2013.35,17198.6,0.466486,0.58864,14.16974,9.86958,14.16974,smu+N433+E8,1800
11392,543.0309189,2697.02,6780.11,0.741442,0.38326,10.33614,8.0296,10.33614,sxc+N442+E154,1801
10268,543.0233616,2321.03,9504.46,0.652422,0.51248,13.76379,8.47204,10.17317,snx+N265+E57,1802
9017,543.0101415,1798.35,37607.9,0.415882,0.62886,18.39374,16.58465,18.24602,ska+N583+E179,1803
9762,542.98233,2043.48,20717.8,0.452496,0.58178,15.67456,10.54554,14.8095,smu+N108+E86,1805
8230,542.971513,1802.39,8964.85,0.310246,0.66658,12.64303,10.63027,12.64303,qzd+N317+E78,1806
10575,542.9696998,2198.23,28918.7,0.678459,0.51536,13.8237,10.99642,13.30409,sos+N566+E66,1807
13681,542.9228513,2000.88,6832.73,0.402557,0.59994,14.62695,13.62426,14.58519,unc+N310+E72,1808
17019,542.912744,1560.84,44978.9,0.242582,0.69854,18.38002,15.28474,17.92176,wje+N50+E92,1809
1402,542.8937904,1711.49,22274.8,0.257645,0.67462,15.59757,13.50545,15.50663,bsn+N447+E101,1810
