filename,target,metal_Zn,metal_Cu,metal_Co,metal_Cd,metal_Mn,metal_Ni,metal_Fe,metal_Ag,metal_In,metal_Nd,metal_Zr,metal_La,metal_Mg,metal_Ca,metal_W,metal_other,metal_organic,node_CN,node_is_fluorinated,node_is_electron_deficient,node_is_electron_rich,node_is_symmetric,node_is_conjugated,node_is_metalated,node_has_hydrogen_bond_donor,node_has_hydrogen_bond_acceptor,node_is_charged,node_is_photoswitchable,node_has_open_metal_site,edge_CN,edge_length,edge_is_fluorinated,edge_is_electron_deficient,edge_is_electron_rich,edge_is_symmetric,edge_is_conjugated,edge_is_metalated,edge_has_hydrogen_bond_donor,edge_has_hydrogen_bond_acceptor,edge_is_charged,edge_is_photoswitchable,edge_has_open_metal_site,topo_node_CN_min,topo_node_CN_max,topo_edge_CN_min,topo_edge_CN_max,sa,cv,density,vf,di,df,dif
wkq+N528+E172,7.617959729093046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,1,2,7.2523,0,0,0,1,0,1,0,1,0,0,1,6,6,2,2,2040.62,34920.7,0.700746,0.60302,14.37238,12.73963,14.37238
crr+N360+E19,7.616532714592699,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,2.8033,0,0,0,1,0,0,0,0,0,0,0,4,4,2,2,1098.29,50786.7,0.22764,0.78778,28.3825,18.49142,28.3825
lvt+N580+E110,7.615345129393332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,2,8.7614,0,0,0,1,1,0,1,1,0,0,0,4,4,2,2,1380.94,35444.5,0.298357,0.75116,16.57394,12.99096,14.70247
uku+N109+E155,7.615059593871336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,2,8.6611,0,0,1,1,1,0,0,1,0,0,0,4,4,2,2,1015.54,68566.6,0.308864,0.79884,33.89921,21.35666,31.84863
uog+N581+E80,7.614331198250364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,2,8.9145,0,0,1,1,1,0,1,1,0,0,0,4,4,2,2,1250.34,29816.2,0.224965,0.76412,20.52477,16.91923,20.34247
vmd+N308+E99,7.607997017299734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,1,0,1,0,0,1,2,11.1958,0,0,0,1,1,1,0,1,0,0,0,6,6,2,2,1274.58,56122.3,0.324454,0.76172,25.06654,22.47001,24.4135
umz+N32+E27,7.605574899920869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,1,2,3.0399,0,0,0,1,0,0,0,1,0,1,0,4,4,2,2,2020.29,18365.9,0.563193,0.6122,18.14543,17.65116,18.14543
acs-g+N245+E85,7.604897210466234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,1,0,1,0,0,1,2,4.8613,0,0,0,1,1,0,0,0,0,0,0,3,3,2,2,1346.33,34010.0,0.275544,0.75606,17.83417,13.7266,17.83417
cag+N346+E11,7.604155639669573,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,1,2,7.018,0,0,0,1,1,0,0,0,0,0,0,4,4,2,2,1143.56,70750.0,0.245285,0.79382,22.36132,17.00311,22.21154
snf+N541+E20,7.603320810662526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,1,1,0,0,0,2,11.5859,0,0,0,1,1,0,0,0,0,0,0,6,6,2,2,950.1,110611.0,0.190764,0.8101,47.15373,22.99351,46.52557
